fold,train_period,test_period,train_trades,test_trades,train_return_pct,test_return_pct,sign_consistency
1,2018-2019,2020,11,2,20.69267989882791,3.677980300462279,YES
2,2018-2019-2020,2021,13,2,24.37066019929019,2.2493841140080106,YES
