date,pb07_daily_return
2018-12-07,0.0
2018-12-10,0.0
2018-12-11,0.0
2018-12-12,0.0
2018-12-13,0.0
2018-12-14,0.0
2018-12-17,0.0
2018-12-18,0.0
2018-12-19,0.0
2018-12-20,0.0
2018-12-21,0.0
2018-12-24,0.0
2018-12-25,0.0
2018-12-26,0.0
2018-12-27,0.0
2018-12-28,0.0
2018-12-31,0.0
2019-01-01,0.0
2019-01-02,0.0
2019-01-04,0.0
2019-01-07,0.0
2019-01-08,0.0
2019-01-10,0.0
2019-01-11,0.0
2019-01-14,0.0
2019-01-15,0.0
2019-01-16,0.0
2019-01-17,0.0
2019-01-18,0.0
2019-01-21,0.0
2019-01-22,0.0
2019-01-23,0.0
2019-01-24,0.0
2019-01-25,0.0
2019-01-28,0.0
2019-01-29,0.0
2019-01-30,0.0
2019-01-31,0.0
2019-02-01,0.0
2019-02-04,0.0
2019-02-05,0.0
2019-02-07,0.0
2019-02-08,0.0
2019-02-12,0.0
2019-02-13,0.0
2019-02-14,0.0
2019-02-15,0.0
2019-02-18,0.0
2019-02-19,0.0
2019-02-20,0.0
2019-02-21,0.0
2019-02-22,0.0
2019-02-25,0.0
2019-02-26,0.0
2019-02-27,0.0
2019-02-28,0.0
2019-03-01,0.0
2019-03-04,0.0
2019-03-05,0.0
2019-03-06,0.0
2019-03-07,0.0
2019-03-12,0.0
2019-03-13,0.0
2019-03-14,0.002829208895892145
2019-03-15,0.0004655660208430163
2019-03-18,0.017476632167030746
2019-03-19,0.019732836729577735
2019-03-20,0.04419295920925393
2019-03-21,0.06177702968878702
2019-03-22,0.08376607098091174
2019-03-25,0.08906636106435556
2019-03-26,0.08541345843927932
2019-03-27,0.09021236973104607
2019-03-28,0.09397271066862446
2019-03-29,0.10725924864806785
2019-04-01,-0.02564194391720096
2019-04-02,0.027217705833900246
2019-04-03,0.08383769652257983
2019-04-04,0.07893134691831094
2019-04-09,-0.01550692977115654
2019-04-10,-0.0633527916054865
2019-04-11,-0.08809941625183548
2019-04-12,-0.0369945922716042
2019-04-15,0.013683236041972444
2019-04-16,-0.03208685999722492
2019-04-17,-0.0453725544609407
2019-04-18,-0.03878173997502411
2019-04-19,-0.021784376300818555
2019-04-22,-0.028479256278617943
2019-04-23,-0.030838074094630175
2019-04-24,-0.06205772165949767
2019-04-25,-0.059976411821839756
2019-04-26,-0.05140835299014845
2019-04-29,-0.04880671569307616
2019-04-30,-0.04006521437491312
2019-05-02,-0.005203274594144582
2019-05-03,0.032190925489107916
2019-05-06,0.023275981684473555
2019-05-07,0.018038018593034708
2019-05-08,0.00020813098376579116
2019-05-09,-0.05886637990842227
2019-05-13,-0.05009019009296517
2019-05-14,-0.04349937560704858
2019-05-15,-0.03065866518662396
2019-05-16,0.007428343660542647
2019-05-17,-0.003587346450701196
2019-05-20,-0.017574374026162343
2019-05-21,-0.007174692901402392
2019-05-22,-0.008080588469761271
2019-05-23,0.0025002717686704993
2019-05-24,0.014494329093742072
2019-05-27,0.026270971482407507
2019-05-28,0.028952422364749614
2019-05-29,0.009856143783744501
2019-05-30,0.03996811247599366
2019-05-31,0.04797622930028608
2019-06-03,0.07167445736855445
2019-06-05,-0.00097836721382773
2019-06-06,0.09569880784143192
2019-06-11,-0.05594811030184459
2019-06-12,-0.03859115121208839
2019-06-13,0.11465014313149974
2019-06-14,0.11044678769431444
2019-06-17,0.10031536036525701
2019-06-18,0.0
2019-06-19,0.0
2019-06-20,0.0
2019-06-21,0.0
2019-06-24,0.0
2019-06-25,0.0
2019-06-26,0.0
2019-06-27,0.0
2019-06-28,0.0
2019-07-01,0.0
2019-07-02,0.0
2019-07-03,0.0
2019-07-05,0.0
2019-07-08,0.0
2019-07-10,0.0
2019-07-11,0.016321549784540184
2019-07-15,0.11608130267322578
2019-07-16,0.1137551004843076
2019-07-17,0.10963657857605917
2019-07-18,0.10586126682683136
2019-07-19,0.10936963734126531
2019-07-22,0.10700530069023377
2019-07-23,0.10780612439461534
2019-07-24,0.11230599092399797
2019-07-25,0.10765358654616161
2019-07-26,0.1050223086603362
2019-07-29,0.11009419212142013
2019-07-30,0.10303931663043885
2019-07-31,0.10059871105518055
2019-08-01,0.0407657399992373
2019-08-02,0.10948404072760545
2019-08-05,0.04785874995233175
2019-08-07,0.107310376387141
2019-08-08,0.08042558059718558
2019-08-13,0.08095946306677329
2019-08-14,0.07385794912862752
2019-08-15,-0.005826476923620104
2019-08-16,-0.019068469931847794
2019-08-19,-0.022882163918217516
2019-08-20,-0.026272114128323733
2019-08-21,-0.03047423990960131
2019-08-22,-0.02680179384865276
2019-08-23,-0.027790529326600533
2019-08-26,-0.02884988876725879
2019-08-27,-0.02733147356898199
2019-08-28,-0.0309686076485751
2019-08-29,-0.030650799816377722
2019-08-30,-0.02969737631978539
2019-09-04,0.06539778946996709
2019-09-05,-0.0432924891415657
2019-09-09,-0.041809385924644143
2019-09-10,-0.06010099226667602
2019-09-12,-0.05830008121755709
2019-09-13,-0.038101627882340554
2019-09-16,-0.032027967089233354
2019-09-17,-0.03246297538754909
2019-09-18,0.015877650837682833
2019-09-19,0.01043909917144197
2019-09-20,0.0009490090155856147
2019-09-23,-0.0034310325948098495
2019-09-24,0.003540533635069425
2019-09-25,-0.00795707559221815
2019-09-26,-0.018140672336387293
2019-09-27,-0.01930868343249268
2019-09-30,-0.02120670146366391
2019-10-01,-0.010913603679234985
2019-10-04,0.08132277256633927
2019-10-07,0.05340000730006933
2019-10-09,-0.014271635580538105
2019-10-10,-0.028251268387049708
2019-10-14,-0.028032266306529934
2019-10-15,-0.03164580063510609
2019-10-16,-0.032193305836405624
2019-10-18,-0.03810636201043929
2019-10-21,-0.038836368945505136
2019-10-22,-0.03746384640654089
2019-10-23,-0.005047055251973224
2019-10-24,-0.03293867638129925
2019-10-25,-0.0349119611414693
2019-10-28,-0.03942774741955065
2019-10-29,-0.03335610200364296
2019-10-30,-0.030434122647237334
2019-10-31,-0.025766545233758213
2019-11-01,0.02781572556162736
2019-11-04,0.10063752276867047
2019-11-06,0.14461900425015184
2019-11-07,0.10355950212507598
2019-11-11,0.015141165755919889
2019-11-12,0.030585913782635105
2019-11-13,0.03525349119611423
2019-11-14,0.0061475409836065755
2019-11-15,0.01434426229508208
2019-11-18,0.02743624772313304
2019-11-19,0.028384942319368618
2019-11-20,0.020264116575592107
2019-11-21,0.024880388585306595
2019-11-22,0.0
2019-11-25,0.0
2019-11-27,0.0
2019-11-28,0.0
2019-11-29,0.0
2019-12-02,0.0
2019-12-03,0.0
2019-12-04,0.0
2019-12-06,0.0
2019-12-09,0.0
2019-12-11,0.0
2019-12-12,0.0
2019-12-13,0.0
2019-12-16,0.0
2019-12-17,0.0
2019-12-18,0.0
2019-12-19,0.0
2019-12-20,0.0
2019-12-23,0.0
2019-12-24,0.0
2019-12-25,0.0
2019-12-26,0.0
2019-12-27,-0.03551777786210293
2019-12-30,-0.03270974841574006
2019-12-31,-0.044245436952149546
2020-01-01,-0.042158388039312364
2020-01-06,0.07384358517056896
2020-01-07,0.10404887489090434
2020-01-09,0.03578340226919139
2020-01-10,0.11338367548286743
2020-01-13,0.003073653853451229
2020-01-14,0.0020870489128372916
2020-01-15,0.035859294956931076
2020-01-16,0.03475885098470772
2020-01-17,0.052328008196410356
2020-01-20,0.054453003453117384
2020-01-21,0.049937388532614986
2020-01-22,0.03498652904792634
2020-01-23,0.012180776382195715
2020-01-24,0.0026182977270142096
2020-01-27,0.0033772246044095297
2020-01-28,-0.028118240807498078
2020-01-29,-0.023008879444465356
2020-01-30,-0.006560049685583409
2020-01-31,0.014905675025230863
2020-02-03,0.06711435447558427
2020-02-04,0.046774318764071156
2020-02-06,0.10208834717801417
2020-02-07,0.1268923220246875
2020-02-10,0.15891623321170714
2020-02-11,0.19979038894495757
2020-02-12,0.22750562844499655
2020-02-13,0.0485598944181352
2020-02-14,0.04145640866392363
2020-02-17,0.02895737908547465
2020-02-18,0.024415806226224752
2020-02-19,0.013197733095256492
2020-02-20,0.011645058613461687
2020-02-21,-0.0015138576197499664
2020-02-24,0.025541495225525908
2020-02-25,0.044484123903423566
2020-02-26,0.04413477214501981
2020-02-27,0.05039352534741095
2020-02-28,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-06,0.0
2020-03-09,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,0.0
2020-03-20,0.0
2020-03-23,0.0
2020-03-24,0.0
2020-03-25,0.0
2020-03-26,0.0
2020-03-27,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-06,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-20,0.0
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,0.0
2020-04-24,0.0
2020-04-27,0.0
2020-04-28,0.0
2020-04-29,0.0
2020-04-30,0.0
2020-05-01,0.0
2020-05-04,0.0
2020-05-05,0.0
2020-05-06,0.0
2020-05-07,0.0
2020-05-08,0.0
2020-05-11,0.0
2020-05-13,0.0
2020-05-14,0.0
2020-05-15,0.0
2020-05-18,0.0
2020-05-19,0.0
2020-05-20,0.0
2020-05-21,0.0
2020-05-22,0.0
2020-05-25,0.0
2020-05-26,0.0
2020-05-27,0.0
2020-05-28,0.0
2020-05-29,0.0
2020-06-01,0.0
2020-06-02,0.0
2020-06-03,0.0
2020-06-04,0.0
2020-06-05,0.0
2020-06-08,0.0
2020-06-10,0.0
2020-06-16,0.0
2020-06-17,0.0
2020-06-18,0.0
2020-06-19,0.0
2020-06-22,0.0
2020-06-23,0.0
2020-06-24,0.0
2020-06-25,0.0
2020-06-26,0.0
2020-06-29,0.0
2020-06-30,0.0
2020-07-01,0.0
2020-07-02,0.0
2020-07-07,0.0
2020-07-08,0.0
2020-07-09,0.0
2020-07-13,0.0
2020-07-14,0.0
2020-07-15,0.0
2020-07-16,0.0
2020-07-17,0.0
2020-07-20,0.0
2020-07-21,0.0
2020-07-23,0.0
2020-07-24,0.0
2020-07-27,0.0
2020-07-28,0.0
2020-07-29,0.0
2020-07-30,0.001646444038798942
2020-07-31,0.001288521421668684
2020-08-04,-0.011811446365295864
2020-08-05,-0.007695336268298713
2020-08-06,0.018218261211926098
2020-08-07,0.012419914814417222
2020-08-10,0.0900175382082395
2020-08-13,-0.035040624217044146
2020-08-14,-0.01857618382905615
2020-08-17,-0.01793192311822181
2020-08-18,0.004402448190701236
2020-08-19,0.011560900533304766
2020-08-20,0.0034718493861628096
2020-08-21,-0.00805325888542897
2020-08-24,-0.02541250581624241
2020-08-25,0.0018254053473638675
2020-08-26,0.004939332116396419
2020-08-27,-0.03174773613944667
2020-08-28,-0.03221303554171588
2020-08-31,-0.027524249257310562
2020-09-01,-0.07963559898349967
2020-09-03,0.08047805673043347
2020-09-04,0.08036164681230856
2020-09-07,0.10341081060106336
2020-09-09,0.1151682123316907
2020-09-10,0.12863295952815193
2020-09-11,0.20748127740483502
2020-09-14,0.14031275464669601
2020-09-15,0.14671530014357226
2020-09-16,0.15342827208878207
2020-09-17,0.1594427845252417
2020-09-18,0.15975321097357503
2020-09-21,0.15808466881378297
2020-09-22,0.13340576617127778
2020-09-23,0.12292887354002564
2020-09-24,0.11055061891273141
2020-09-25,0.11947537930231665
2020-09-28,0.11384889992627385
2020-09-29,0.12188118427690049
2020-09-30,0.12486903884210938
2020-10-01,0.012115517442086048
2020-10-02,0.0
2020-10-06,0.0
2020-10-07,0.0
2020-10-08,0.0
2020-10-12,0.0
2020-10-13,0.0
2020-10-14,0.0
2020-10-15,0.0
2020-10-16,0.0
2020-10-19,0.0
2020-10-20,0.0
2020-10-21,0.0
2020-10-22,0.0
2020-10-23,0.0
2020-10-26,0.0
2020-10-27,0.0
2020-10-28,0.0
2020-10-29,0.0
2020-10-30,0.0
2020-11-02,0.0
2020-11-03,0.0
2020-11-05,0.0
2020-11-06,0.0
2020-11-09,0.0
2020-11-11,0.0
2020-11-12,0.0
2020-11-13,0.0
2020-11-16,0.0
2020-11-17,0.0
2020-11-18,0.0
2020-11-19,0.0
2020-11-20,0.0
2020-11-23,0.0
2020-11-24,0.0
2020-11-25,0.0
2020-11-26,0.0
2020-11-27,0.0
2020-11-30,0.0
2020-12-02,0.0
2020-12-03,0.0
2020-12-08,0.0
2020-12-10,0.0
2020-12-11,0.0
2020-12-14,0.0
2020-12-15,0.0
2020-12-16,0.0
2020-12-17,0.0
2020-12-21,0.0
2020-12-22,0.0
2020-12-23,0.0
2020-12-24,0.0
2020-12-25,0.0
2020-12-28,0.0
2020-12-29,0.0
2020-12-30,0.0
2020-12-31,0.0
2021-01-01,0.0
2021-01-04,0.0
2021-01-06,0.0
2021-01-07,0.0
2021-01-11,0.0
2021-01-13,0.0
2021-01-14,0.0
2021-01-15,0.0
2021-01-18,0.0
2021-01-19,0.0
2021-01-20,0.0
2021-01-21,0.0
2021-01-22,0.0
2021-01-25,0.0
2021-01-26,0.0
2021-01-27,0.0
2021-01-28,0.0
2021-01-29,0.0
2021-02-02,0.0
2021-02-03,0.0
2021-02-04,0.0
2021-02-08,0.0
2021-02-09,0.0
2021-02-15,0.0
2021-02-16,0.0
2021-02-17,0.0
2021-02-18,0.0
2021-02-19,0.0
2021-02-22,0.0
2021-02-23,0.0
2021-02-24,0.0
2021-02-25,0.0
2021-02-26,0.0015828677839850743
2021-03-02,0.03265052762259478
2021-03-03,0.02672253258845442
2021-03-05,0.024115456238361387
2021-03-08,0.024332712600869125
2021-03-09,0.06052141527001863
2021-03-15,0.023929236499069015
2021-03-16,0.022067039106145294
2021-03-17,0.01666666666666668
2021-03-18,0.020794537554314055
2021-03-19,0.020949720670391064
2021-03-22,0.015518311607697084
2021-03-23,0.01412166356300438
2021-03-24,0.024022346368715114
2021-03-25,0.021073867163252703
2021-03-26,0.022036002482929928
2021-03-29,0.029639975170701462
2021-03-30,0.02489137181874624
2021-03-31,0.01707014276846679
2021-04-01,0.036281812538795775
2021-04-02,0.03456797020484183
2021-04-05,0.0
2021-04-06,0.0
2021-04-08,0.0
2021-04-13,0.0
2021-04-14,0.0
2021-04-15,0.0
2021-04-16,0.0
2021-04-19,0.0
2021-04-20,0.0
2021-04-21,0.0
2021-04-22,0.0
2021-04-23,0.0
2021-04-26,0.0
2021-04-27,0.0
2021-04-28,0.0
2021-04-29,0.0
2021-04-30,0.0
2021-05-03,0.0
2021-05-04,0.0
2021-05-05,0.0
2021-05-07,0.0
2021-05-13,0.0
2021-05-14,0.000340209692883474
2021-05-17,0.0027216775430674404
2021-05-18,0.01045371601769089
2021-05-19,0.015031082794668029
2021-05-20,0.023041474654377846
2021-05-21,0.020443509726904445
2021-05-24,0.02004144372622404
2021-05-25,0.0236291095784494
2021-05-26,0.017103269105867163
2021-05-27,0.018154826338415874
2021-05-28,0.02130949803606236
2021-05-31,0.014567160486190693
2021-06-03,0.01843317972350242
2021-06-04,0.022917762038783984
2021-06-07,0.00637119970308973
2021-06-08,0.024340457118114635
2021-06-09,0.05786657594408201
2021-06-10,0.08471221352797466
2021-06-14,0.006680481242074738
2021-06-15,0.010886710172269937
2021-06-16,0.013598088640089157
2021-06-17,0.0
2021-06-18,0.0
2021-06-21,0.0
2021-06-22,0.0
2021-06-23,0.0
2021-06-24,0.0
2021-06-25,0.0
2021-06-28,0.0
2021-06-29,0.0
2021-06-30,0.0
2021-07-01,0.0
2021-07-05,0.0
2021-07-06,0.0
2021-07-07,0.0
2021-07-09,0.0
2021-07-13,0.0
2021-07-14,0.010233918128654857
2021-07-15,0.013344531541619893
2021-07-16,0.01486873211397279
2021-07-19,0.009860644519099038
2021-07-20,0.0115092696279706
2021-07-21,0.010451661067562389
2021-07-22,0.017854920990419337
2021-07-23,0.021494338683588302
2021-07-26,0.02460495209655334
2021-07-27,0.021556550951847723
2021-07-28,0.017948239392808204
2021-07-29,0.016206295881547778
2021-07-30,0.020467836257309892
2021-08-02,0.03654970760233918
2021-08-03,0.025973621998257947
2021-08-04,0.024978225706109157
2021-08-06,0.018165982331715735
2021-08-09,0.05981709593131753
2021-08-10,0.10884036331964665
2021-08-13,0.04905437352245857
2021-08-16,0.03772713699141467
2021-08-17,0.0
2021-08-18,0.0
2021-08-19,0.0
2021-08-20,0.0
2021-08-23,0.0
2021-08-24,0.0
2021-08-25,0.0
2021-08-26,0.0
2021-08-27,0.0
2021-08-30,0.0
2021-08-31,0.0
2021-09-02,0.0
2021-09-03,0.0
2021-09-06,0.0
2021-09-07,0.0
2021-09-08,0.0
2021-09-09,0.0
2021-09-13,0.0
2021-09-14,0.0
2021-09-15,0.0
2021-09-16,0.0
2021-09-17,0.0
2021-09-20,0.0
2021-09-21,0.0
2021-09-22,0.0
2021-09-23,0.0
2021-09-24,0.0
2021-09-27,0.0
2021-09-28,0.0
2021-09-29,0.0
2021-09-30,0.0
2021-10-05,0.0
