w_pb07,w_bb01,total_return,cagr,annual_vol,sharpe,max_drawdown,calmar,evaluation
0,1,0.1870813096268773,0.05117082807280715,0.19061717447503657,0.3515170460417354,-0.32747054385671037,0.1562608577553206,full_sample_descriptive
0.1,0.9,0.20429937793310216,0.055584900047013,0.17171105383661017,0.39631063012882617,-0.2901642777502914,0.19156355316299997,full_sample_descriptive
0.2,0.8,0.22016817798056865,0.059613620846816984,0.15330063738679736,0.45072640905832684,-0.2511495415529843,0.2373630486361175,full_sample_descriptive
0.3,0.7,0.23461232747828298,0.06324848622278556,0.13558799889888115,0.5173199414016975,-0.21036559928504717,0.3006598342953529,full_sample_descriptive
0.4,0.6,0.247559234344642,0.06648103385331683,0.11888543256553062,0.5987958655498491,-0.1677502901690371,0.3963095013780871,full_sample_descriptive
0.5,0.5,0.2589395171117346,0.06930284695360722,0.10368224204688649,0.6966847351798394,-0.1232400230409948,0.5623404251554858,full_sample_descriptive
0.6,0.4,0.26868742689926495,0.07170555784395205,0.09073526968126039,0.8076194124891267,-0.10479547601820849,0.6842428754348974,full_sample_descriptive
0.7,0.30000000000000004,0.2767412687419928,0.07368085146637848,0.08113193958656713,0.9161040081075746,-0.09847046412351934,0.7482533175958881,full_sample_descriptive
0.8,0.19999999999999996,0.28304381994312466,0.07522046883716405,0.07614797887476442,0.9897967878317504,-0.09224215848977935,0.8154673531916882,full_sample_descriptive
0.9,0.09999999999999998,0.2875427430218098,0.07631621042114967,0.07668936276323289,0.9964452955025545,-0.08611173091939506,0.8862463871699345,full_sample_descriptive
1,0,0.29019099072673926,0.07695993941185097,0.08264758099324737,0.9372625751536102,-0.08008033103726586,0.9610342316776409,full_sample_descriptive
