signal,horizon,q1_mean,q5_mean,q5_q1_spread,quintile_spearman,quintile_spearman_p,directional_adjacent_consistency,n_total
PB07,1,0.0002459798388299081,0.00027503755730210795,2.9057718472199842e-05,-0.09999999999999999,0.8728885715695383,0.75,865
PB07,3,0.0040769024346175835,0.0010665029231687183,-0.0030103995114488654,-0.7999999999999999,0.10408803866182788,0.5,863
PB07,5,0.009956398940015218,-0.00022971815645756604,-0.010186117096472784,-0.7,0.1881204043741873,0.75,861
PB07,10,0.01352284284244997,-0.0034631644403832454,-0.016986007282833216,-0.6,0.28475697986529375,0.5,856
PB07,20,0.01858496317652371,0.005428166203439853,-0.013156796973083855,-0.09999999999999999,0.8728885715695383,0.5,846
PB08,1,0.00020905016178786014,2.059129766862622e-05,-0.00018845886411923392,-0.3,0.6238376647810728,0.5,865
PB08,3,0.004453857479229326,0.00021134369340356082,-0.004242513785825765,-0.19999999999999998,0.747060078104662,0.75,863
PB08,5,0.006418657905563298,-0.0013233841187685975,-0.007742042024331896,-0.19999999999999998,0.747060078104662,0.75,861
PB08,10,0.012361585055210409,-0.0014581106926325638,-0.013819695747842973,-0.3,0.6238376647810728,0.5,856
PB08,20,0.018435447652311344,0.007373306081832098,-0.011062141570479246,-0.09999999999999999,0.8728885715695383,0.5,846
BB06,1,0.0004398691046272617,-0.0006896307318155592,-0.0011294998364428208,-0.7,0.1881204043741873,0.75,865
BB06,3,0.005039363443848284,0.006001588364440909,0.0009622249205926249,0.0,1.0,0.25,863
BB06,5,0.01095004760732636,0.005915457943253045,-0.005034589664073315,-0.09999999999999999,0.8728885715695383,0.5,861
BB06,10,0.010370577791039002,0.008597155215818098,-0.001773422575220904,-0.3,0.6238376647810728,0.5,856
BB06,20,0.008387175801312671,0.006062487937952397,-0.0023246878633602737,-0.6,0.28475697986529375,0.5,846
BB07,1,-0.00018625854891761678,0.0015653644539525163,0.001751623002870133,0.7,0.1881204043741873,0.75,865
BB07,3,0.0028220259609707545,0.003510314580425367,0.0006882886194546126,0.3,0.6238376647810728,0.5,863
BB07,5,0.0017216852623375938,0.010059583699659223,0.00833789843732163,0.3,0.6238376647810728,0.5,861
BB07,10,0.002967076915882002,0.01157777659753056,0.008610699681648556,0.39999999999999997,0.5046315754686911,0.75,856
BB07,20,0.004199559997088201,0.01257571338224507,0.008376153385156869,0.09999999999999999,0.8728885715695383,0.5,846
VB05,1,-6.605018898902826e-05,0.00027737035767020875,0.000343420546659237,0.6,0.28475697986529375,0.5,865
VB05,3,0.0029227875940573416,-0.0017961116735862141,-0.004718899267643555,-0.49999999999999994,0.39100221895577053,0.75,863
VB05,5,0.004957251574792989,0.0003981071179780409,-0.004559144456814948,-0.7,0.1881204043741873,0.75,861
VB05,10,0.008460591107455858,0.0041165352250811344,-0.004344055882374724,-0.19999999999999998,0.747060078104662,0.75,856
VB05,20,0.015120532428852378,0.00518747177889676,-0.009933060649955618,-0.8999999999999998,0.03738607346849874,0.75,846
