Candidate,Signal,Horizon,N_Events,Spread_pct,Welch_t,Welch_p,Bootstrap_CI_Lower_pct,Bootstrap_CI_Upper_pct,CI_Includes_Zero,WFO_Fold1_Train_pct,WFO_Fold1_Test_pct,WFO_Fold1_Sign_Match,WFO_Fold2_Train_pct,WFO_Fold2_Test_pct,WFO_Fold2_Sign_Match
BB03 Short Reversal (10d),BB03=1 → short,10,98,-1.2167,-1.9139,0.0581,-2.7837,0.2706,True,-0.9669,-1.9476,YES,-1.2961,-1.0266,YES
BB04 Long Reversal (5d),BB04=1 → long,5,82,1.5297,2.2451,0.0271,-0.2923,3.4617,True,1.8851,-0.9046,NO,1.4134,2.6150,YES
PB07 Q1 Long Reversal (20d),Causal historical Q1 → long,20,136,1.6378,3.2133,0.0015,-0.1659,3.0824,true,1.0000,1.0000,YES,1.0000,1.0000,YES
