horizon,quintile,n,mean,median,std,hit_rate
10,1,172,0.0010324019367945738,0.0007656157941541617,0.011687807627226862,0.5348837209302325
10,2,171,-0.000569511483768421,-0.00023415286837261476,0.008485902902276136,0.4853801169590643
10,3,171,-0.0001873100159112709,0.0001818677821224039,0.00964758249544784,0.5146198830409356
10,4,171,9.57680874116122e-05,-0.00042386351594788085,0.008572085177493995,0.4853801169590643
10,5,171,0.0007070484255280467,0.0005102347079657119,0.011162143704941155,0.5263157894736842
20,1,170,0.0009776458897240603,0.00018678017736826704,0.01071196355483946,0.5117647058823529
20,2,169,-0.0011950224321823871,-0.0003671184262856932,0.010075990421034124,0.48520710059171596
20,3,169,0.00019341952228948392,0.0006405667131392137,0.009592691542090696,0.5325443786982249
20,4,169,0.0004912343576396169,-0.00045928281222397263,0.008550843900380118,0.47928994082840237
20,5,169,0.0006302740024148398,0.0013000786889732644,0.01053632961275283,0.5443786982248521
