signal,horizon,years_present,positive_years,negative_years,sign_consistency,mean_yearly_coef,median_yearly_coef,mean_abs_yearly_t,max_abs_yearly_t,abs_median_coef
BB03,10,4,0,4,1.0,-0.015818530513293454,-0.01457768412188971,1.5827020133220464,2.8042125286894137,0.01457768412188971
VB03,5,3,3,0,1.0,0.019186011734029482,0.00806356013615741,1.3474149624883252,2.938039964365063,0.00806356013615741
VB03,1,3,3,0,1.0,0.005137973304899653,0.00510924250000393,1.227380802624223,2.191014849867185,0.00510924250000393
BB03,1,4,0,4,1.0,-0.0019752970304456378,-0.0015609113593886784,1.1197570263567966,2.204591217991298,0.0015609113593886784
PB07,20,4,0,4,1.0,-0.2047831677246173,-0.20129048648014813,1.0124417748118637,1.2589897834869623,0.20129048648014813
PB07,10,4,0,4,1.0,-0.22210535637655066,-0.2007224839904481,1.004362426173607,1.0904884342242767,0.2007224839904481
VB01,20,4,0,4,1.0,-0.0057070091835072015,-0.002955410295362352,0.8702298043104165,2.378513267040522,0.002955410295362352
PB01,5,4,0,4,1.0,-0.007295803078537869,-0.006033377635924075,0.8637918131096942,1.3213516884659782,0.006033377635924075
PB08,20,4,0,4,1.0,-0.35162014546103465,-0.3661636582235773,0.805349965503588,1.0948959246950234,0.3661636582235773
PB07,5,4,0,4,1.0,-0.12916705088475317,-0.13390063118394918,0.7432094565374554,1.2727126618080702,0.13390063118394918
BB02,20,4,4,0,1.0,0.010274160719427865,0.010827597773110605,0.7104188403329339,1.3557099667625325,0.010827597773110605
PB01,3,4,0,4,1.0,-0.005030864212740995,-0.0018686595155833368,0.7073781445160283,1.7529643652329752,0.0018686595155833368
PB08,5,4,0,4,1.0,-0.16432405645157314,-0.18676600549058217,0.5381765995641373,0.9569514414434414,0.18676600549058217
BB06,20,4,0,4,1.0,-0.0034511419786472106,-0.0037145886310274,0.4755172881097033,0.7009392787088946,0.0037145886310274
BB06,10,4,0,4,1.0,-0.002777489271735561,-0.002388596851993108,0.3656485860735048,0.5075824462995698,0.002388596851993108
PB08,3,4,0,4,1.0,-0.07548364706373974,-0.07279357204862133,0.2984268958385108,0.43107501521870933,0.07279357204862133
VB03,20,3,0,3,1.0,-0.004345840580552713,-0.0040586321501411724,0.2296408600862115,0.3295494929593893,0.0040586321501411724
BB04,5,4,3,1,0.75,0.016788079751295457,0.020295114294703653,2.556079872282739,6.8678305039162995,0.020295114294703653
BB04,10,4,3,1,0.75,0.008148411613897996,0.0070716245892454704,1.6002031574623417,2.5112059095154398,0.0070716245892454704
PB04,20,4,1,3,0.75,-0.007696822874096921,-0.011733331522138768,1.2840804015847906,1.8117341476720907,0.011733331522138768
BB04,20,4,3,1,0.75,0.00821460214570568,0.010937956914290309,1.2365784391007844,3.2905595261598353,0.010937956914290309
VB04,1,4,3,1,0.75,0.000517859485828139,0.0006418511697299466,1.2276625300165194,2.100415677854318,0.0006418511697299466
PB01,20,4,1,3,0.75,-0.00747380384444245,-0.012899724298128652,1.1933499431058108,1.6610480205703098,0.012899724298128652
VB04,20,4,3,1,0.75,-0.0007865866726622132,0.00272899072842762,1.157047443715093,1.9923772153326516,0.00272899072842762
PB01,1,4,1,3,0.75,-0.0011893025633608178,-0.0010597902179863596,1.1235784387594583,1.8645955810651946,0.0010597902179863596
VB05,10,4,1,3,0.75,-0.0005684705223049198,-0.0022119274428899403,1.0848630818630498,2.1813378816748568,0.0022119274428899403
BB01,1,4,1,3,0.75,-0.0020740103182367194,-0.0026902659020500044,1.029323225409323,1.5615653166521248,0.0026902659020500044
PB03,1,4,1,3,0.75,-0.0011051426421023573,-0.0008682893646003676,1.0188709266795652,2.036365514298123,0.0008682893646003676
VB02,3,4,3,1,0.75,0.0016867336402732868,0.004416846040766891,1.0109298900090533,1.3291814602259115,0.004416846040766891
