trade_n,equity,return_pct
0,1.0,0.0
1,0.9953572222861304,-0.46427777138695614
2,1.0551620853520105,5.51620853520105
3,1.1210918424025487,12.109184240254866
4,1.0827016410263188,8.270164102631883
5,1.097516503143513,9.751650314351302
6,1.0638681121368416,6.386811213684163
7,1.1705904251869543,17.059042518695435
8,1.2570478332608708,25.704783326087078
9,1.2162403203887513,21.62403203887513
10,1.170675279832265,17.067527983226505
11,1.1998021357017044,19.980213570170434
12,1.1721960330041317,17.219603300413166
13,1.23126712350546,23.126712350545997
14,1.1332144286164119,13.321442861641186
15,1.1469439077919374,14.694390779193744
16,1.186591430623114,18.6591430623114
17,1.2027268060762972,20.272680607629724
18,1.2481022450523844,24.810224505238445
19,1.2290895343007866,22.90895343007866
