allocator,w_pb07,w_bb01,total_return,cagr,annual_vol,sharpe,max_drawdown,calmar,n_obs,evaluation
baseline,0.7,0.3,0.23635102957146126,0.06368399337276065,0.09527625171297208,0.6949188470800041,-0.08328286894645665,0.7646709842925683,866,full_sample_descriptive
equal_weight,0.5,0.5,0.2314269049981761,0.06244947756452701,0.10965370644147913,0.605877099378403,-0.1298849988591595,0.4808059291878899,866,full_sample_descriptive
risk_parity,0.6358214545010059,0.3641785454989941,0.235608515410064,0.06349806284432491,0.09798476084798914,0.6764545378785415,-0.0867685417305657,0.731809727087125,866,full_sample_descriptive
optimize_sharpe,0.7489671831609461,0.2510328168390539,0.23637819000008808,0.06369079302520797,0.0945855034739412,0.6994051230030336,-0.08064912333549945,0.7897270347188432,866,full_sample_descriptive
