q1_mean,q2_mean,q3_mean,q4_mean,q5_mean,q1_n,q2_n,q3_n,q4_n,q5_n,q5_q1_spread,spearman_ic,total_n,bb03_state,horizon
0.0012099367501290743,-0.00035704182188522215,-0.000836900522723266,-0.0003374346496678816,0.0007038970513134025,152,151,152,151,152,-0.0005060396988156718,-0.02133577683852767,758,0,10
2.6163663796633166e-05,0.004175192075463904,0.0011562579548127846,0.00014634587051802042,0.0010426357944737378,20,19,20,19,20,0.0010164721306771046,-0.0006439314244910709,98,1,10
