date,baseline_equity,equal_weight_equity,risk_parity_equity,optimize_sharpe_equity
2018-07-20,1.0992164623238496,1.1128359634593539,1.0993846818410686,1.0878336766264662
2018-07-23,1.0992164623238496,1.1128359634593539,1.0993846818410686,1.0878336766264662
2018-07-24,1.0992164623238496,1.1128359634593539,1.0993846818410686,1.0878336766264662
2018-07-25,1.0992164623238496,1.1128359634593539,1.0993846818410686,1.0878336766264662
2018-07-26,1.0992164623238496,1.1128359634593539,1.0993846818410686,1.0878336766264662
2018-07-27,1.0667275810554828,1.0580169223101628,1.066630877783537,1.0726898740409387
2018-07-30,1.0667275810554828,1.0580169223101628,1.066630877783537,1.0726898740409387
2018-07-31,1.0667275810554828,1.0580169223101628,1.066630877783537,1.0726898740409387
2018-08-01,1.0667275810554828,1.0580169223101628,1.066630877783537,1.0726898740409387
2018-08-02,1.0667275810554828,1.0580169223101628,1.066630877783537,1.0726898740409387
2018-08-03,1.113384264293152,1.0910709903114766,1.1131233801301506,1.1302441959801668
2018-08-06,1.113384264293152,1.0910709903114766,1.1131233801301506,1.1302441959801668
2018-08-08,1.113384264293152,1.0910709903114766,1.1131233801301506,1.1302441959801668
2018-08-13,1.113384264293152,1.0910709903114766,1.1131233801301506,1.1302441959801668
2018-08-14,1.113384264293152,1.0910709903114766,1.1131233801301506,1.1302441959801668
2018-08-15,1.113384264293152,1.0910709903114766,1.1131233801301506,1.1302441959801668
2018-08-16,1.113384264293152,1.0910709903114766,1.1131233801301506,1.1302441959801668
2018-08-17,1.113384264293152,1.0910709903114766,1.1131233801301506,1.1302441959801668
2018-08-20,1.113384264293152,1.0910709903114766,1.1131233801301506,1.1302441959801668
2018-08-21,1.113384264293152,1.0910709903114766,1.1131233801301506,1.1302441959801668
2018-08-22,1.113384264293152,1.0910709903114766,1.1131233801301506,1.1302441959801668
2018-08-23,1.113384264293152,1.0910709903114766,1.1131233801301506,1.1302441959801668
2018-08-24,1.113384264293152,1.0910709903114766,1.1131233801301506,1.1302441959801668
2018-08-27,1.113384264293152,1.0910709903114766,1.1131233801301506,1.1302441959801668
2018-08-28,1.113384264293152,1.0910709903114766,1.1131233801301506,1.1302441959801668
2018-08-29,1.113384264293152,1.0910709903114766,1.1131233801301506,1.1302441959801668
2018-08-30,1.113384264293152,1.0910709903114766,1.1131233801301506,1.1302441959801668
2018-08-31,1.113384264293152,1.0910709903114766,1.1131233801301506,1.1302441959801668
2018-09-03,1.113384264293152,1.0910709903114766,1.1131233801301506,1.1302441959801668
2018-09-04,1.113384264293152,1.0910709903114766,1.1131233801301506,1.1302441959801668
2018-09-05,1.113384264293152,1.0910709903114766,1.1131233801301506,1.1302441959801668
2018-09-07,1.1341730946233803,1.1056225635278962,1.1338360800084768,1.1561323261775467
2018-09-10,1.1341730946233803,1.1056225635278962,1.1338360800084768,1.1561323261775467
2018-09-11,1.1341730946233803,1.1056225635278962,1.1338360800084768,1.1561323261775467
2018-09-13,1.1341730946233803,1.1056225635278962,1.1338360800084768,1.1561323261775467
2018-09-14,1.1341730946233803,1.1056225635278962,1.1338360800084768,1.1561323261775467
2018-09-17,1.1341730946233803,1.1056225635278962,1.1338360800084768,1.1561323261775467
2018-09-18,1.1341730946233803,1.1056225635278962,1.1338360800084768,1.1561323261775467
2018-09-19,1.1341730946233803,1.1056225635278962,1.1338360800084768,1.1561323261775467
2018-09-20,1.1341730946233803,1.1056225635278962,1.1338360800084768,1.1561323261775467
2018-09-21,1.1341730946233803,1.1056225635278962,1.1338360800084768,1.1561323261775467
2018-09-24,1.1341730946233803,1.1056225635278962,1.1338360800084768,1.1561323261775467
2018-09-25,1.1341730946233803,1.1056225635278962,1.1338360800084768,1.1561323261775467
2018-09-26,1.1341730946233803,1.1056225635278962,1.1338360800084768,1.1561323261775467
2018-09-27,1.1341730946233803,1.1056225635278962,1.1338360800084768,1.1561323261775467
2018-09-28,1.1341730946233803,1.1056225635278962,1.1338360800084768,1.1561323261775467
2018-10-01,1.1341730946233803,1.1056225635278962,1.1338360800084768,1.1561323261775467
2018-10-04,1.1341730946233803,1.1056225635278962,1.1338360800084768,1.1561323261775467
2018-10-05,1.1341730946233803,1.1056225635278962,1.1338360800084768,1.1561323261775467
2018-10-08,1.1341730946233803,1.1056225635278962,1.1338360800084768,1.1561323261775467
2018-10-09,1.1341730946233803,1.1056225635278962,1.1338360800084768,1.1561323261775467
2018-10-10,1.1341730946233803,1.1056225635278962,1.1338360800084768,1.1561323261775467
2018-10-12,1.1341730946233803,1.1056225635278962,1.1338360800084768,1.1561323261775467
2018-10-15,1.1341730946233803,1.1056225635278962,1.1338360800084768,1.1561323261775467
2018-10-16,1.1341730946233803,1.1056225635278962,1.1338360800084768,1.1561323261775467
2018-10-17,1.1341730946233803,1.1056225635278962,1.1338360800084768,1.1561323261775467
2018-10-18,1.1341730946233803,1.1056225635278962,1.1338360800084768,1.1561323261775467
2018-10-19,1.1341730946233803,1.1056225635278962,1.1338360800084768,1.1561323261775467
2018-10-22,1.1287064865530188,1.0967409015528895,1.1283273764474568,1.153507702458628
2018-10-23,1.1287064865530188,1.0967409015528895,1.1283273764474568,1.153507702458628
2018-10-24,1.1287064865530188,1.0967409015528895,1.1283273764474568,1.153507702458628
2018-10-25,1.1287064865530188,1.0967409015528895,1.1283273764474568,1.153507702458628
2018-10-26,1.1287064865530188,1.0967409015528895,1.1283273764474568,1.153507702458628
2018-10-29,1.1287064865530188,1.0967409015528895,1.1283273764474568,1.153507702458628
2018-10-30,1.1287064865530188,1.0967409015528895,1.1283273764474568,1.153507702458628
2018-10-31,1.1287064865530188,1.0967409015528895,1.1283273764474568,1.153507702458628
2018-11-01,1.1287064865530188,1.0967409015528895,1.1283273764474568,1.153507702458628
2018-11-05,1.1287064865530188,1.0967409015528895,1.1283273764474568,1.153507702458628
2018-11-06,1.1287064865530188,1.0967409015528895,1.1283273764474568,1.153507702458628
