fold,train_period,test_period,train_n,test_n,train_beta,train_t,train_ic,test_beta,test_t,test_ic,sign_consistency
1,2018-2019,2020,455,230,-0.013958961260265731,-23.270116762439024,-0.044666851876441205,0.053010971550576005,25.313647538001753,0.06907116975731314,NO
2,2018-2020,2021,685,171,-0.0003763055830818137,-0.8192792864271906,-0.008254643291686806,0.005154545143568649,2.616823399285559,0.06258467483177688,NO
